Start,End,Contact duration,Peak pressure,Pressure time integral,Position
0.16,0.46,0.3,209.2,26.91,Rear
1.32,1.6,0.28,250.3,28.73,Rear
2.48,2.8,0.32,222.2,29.5,Rear
3.64,3.88,0.24,224.1,23.79,Rear
4.78,5.14,0.36,239.1,37.07,Rear
5.9,6.16,0.26,222.2,24.84,Rear
7.06,7.34,0.28,211,26.94,Rear
0.28,0.54,0.26,89.6,10.66,Mid
1.4,1.72,0.32,121.4,17.13,Mid
2.56,2.9,0.34,89.6,13.71,Mid
3.7,4.04,0.34,186.8,22.75,Mid
4.88,5.2,0.32,87.8,12.87,Mid
5.98,6.3,0.32,132.6,19.46,Mid
7.14,7.46,0.32,99,14.52,Mid
0.36,0.82,0.46,323.1,37.82,Fore
1.52,1.96,0.44,424,36.41,Fore
2.66,3.14,0.48,427.7,37.15,Fore
3.78,4.3,0.52,524.8,43.4,Fore
5.04,5.42,0.38,339.9,31.02,Fore
6.02,6.56,0.54,569.6,44.33,Fore
7.24,7.72,0.48,470.6,39.66,Fore
